players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
28,38,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56.0,0.12,8.9,9.0,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
28,38,55,437,153,35.0,11.5,4.03,0.11,0.31,17.4,16,7,9,53.3,46.2,0.11,1.7,1.8,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
21,38,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
23,38,43,358,112,31.3,9.42,2.95,0.11,0.37,15.8,14,2,2,44.4,42.8,0.12,-1.4,-1.8,/en/squads/943e8050/2018-2019/Burnley-Stats
25,38,33,413,113,27.4,10.87,2.97,0.07,0.27,17.7,13,3,4,42.4,39.2,0.1,-9.4,-9.2,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
24,38,61,602,192,31.9,15.84,5.05,0.09,0.29,17.8,30,5,5,58.6,54.6,0.09,2.4,1.4,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
26,38,48,482,135,28.0,12.68,3.55,0.08,0.28,18.4,16,10,11,47.6,39.2,0.08,0.4,-1.2,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
23,38,53,493,163,33.1,12.97,4.29,0.1,0.31,16.9,20,2,5,49.7,45.7,0.1,3.3,5.3,/en/squads/d3fd31cc/2018-2019/Everton-Stats
28,38,33,451,140,31.0,11.87,3.68,0.07,0.22,19.0,10,2,3,41.3,39.0,0.09,-8.3,-8.0,/en/squads/fd962109/2018-2019/Fulham-Stats
31,38,21,400,116,29.0,10.53,3.05,0.05,0.17,19.1,15,1,1,28.8,28.0,0.07,-7.8,-8.0,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
25,38,48,508,173,34.1,13.37,4.55,0.08,0.25,18.6,19,5,7,52.4,47.3,0.1,-4.4,-4.3,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
23,38,86,568,211,37.1,14.95,5.55,0.14,0.37,17.0,20,7,7,73.7,68.4,0.12,12.3,10.6,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
21,38,91,679,252,37.1,17.87,6.63,0.13,0.35,16.9,21,3,4,84.3,81.3,0.12,6.7,6.7,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
28,38,65,514,210,40.9,13.53,5.53,0.11,0.27,18.7,27,9,12,61.4,52.0,0.1,3.6,4.0,/en/squads/19538871/2018-2019/Manchester-United-Stats
24,38,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,16,1,3,39.1,36.7,0.09,1.9,3.3,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
30,38,44,479,155,32.4,12.61,4.08,0.08,0.26,18.9,20,4,5,46.9,43.4,0.1,-2.9,-3.4,/en/squads/33c895d4/2018-2019/Southampton-Stats
28,38,66,533,182,34.1,14.03,4.79,0.12,0.34,18.1,23,4,4,54.9,51.8,0.1,11.1,10.2,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
25,38,51,436,148,33.9,11.47,3.89,0.11,0.34,17.3,22,1,1,48.2,47.5,0.11,2.8,2.5,/en/squads/2abfe087/2018-2019/Watford-Stats
26,38,51,436,149,34.2,11.47,3.92,0.11,0.31,17.2,17,5,5,47.6,43.8,0.1,3.4,2.2,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
21,38,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,12,4,4,52.1,49.0,0.11,-6.1,-7.0,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
26,38,39,426,116,27.2,11.21,3.05,0.09,0.32,18.3,16,2,3,41.1,38.8,0.09,-2.1,-1.8,/en/squads/8d6fd021/2018-2019/Alaves-Stats
27,38,39,380,132,34.7,10.0,3.47,0.09,0.26,17.1,6,5,7,43.4,37.8,0.1,-4.4,-3.8,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats
