players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
26,38,580,15.26,397,62,28,31,51,11,53,1.39,34,4,3,4,8,0,/en/squads/74229020/2018-2019/Caen-Stats
26,38,805,21.18,551,85,59,48,48,14,50,1.32,31,3,8,6,1,1,/en/squads/8dfb7350/2018-2019/Dijon-Stats
30,38,718,18.89,495,83,39,37,54,10,50,1.32,31,8,1,4,6,0,/en/squads/d41b5f53/2018-2019/Guingamp-Stats
25,38,895,23.55,655,75,58,36,56,15,124,3.26,80,8,16,5,13,2,/en/squads/cb188c0c/2018-2019/Lille-Stats
25,38,1215,31.97,890,86,79,77,74,9,129,3.39,98,1,9,11,8,2,/en/squads/d53c0b06/2018-2019/Lyon-Stats
24,38,925,24.34,647,113,36,62,54,13,101,2.66,69,10,4,15,3,0,/en/squads/5725cc7b/2018-2019/Marseille-Stats
42,38,818,21.53,571,80,54,51,44,18,64,1.68,44,3,4,5,6,2,/en/squads/fd6114db/2018-2019/Monaco-Stats
25,38,889,23.39,633,91,60,41,53,11,84,2.21,55,6,7,9,5,2,/en/squads/281b0e73/2018-2019/Montpellier-Stats
33,38,905,23.82,630,101,32,47,76,19,72,1.89,46,5,5,9,7,0,/en/squads/d7a486cd/2018-2019/Nantes-Stats
30,38,792,20.84,513,77,82,44,61,15,47,1.24,30,3,4,3,7,0,/en/squads/132ebc33/2018-2019/Nice-Stats
23,38,886,23.32,594,95,66,57,61,13,89,2.34,46,12,11,9,10,1,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats
30,38,997,26.24,753,68,66,43,50,17,181,4.76,134,7,14,12,11,3,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
27,38,689,18.13,487,68,50,41,33,10,70,1.84,49,4,8,4,4,1,/en/squads/7fdd64e0/2018-2019/Reims-Stats
28,38,837,22.03,566,61,63,42,86,19,90,2.37,55,8,8,9,10,0,/en/squads/b3072e00/2018-2019/Rennes-Stats
29,38,837,22.03,577,89,49,64,46,12,95,2.5,59,13,3,9,10,1,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats
26,38,717,18.87,519,78,46,34,31,9,100,2.63,73,8,4,8,6,1,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats
29,38,750,19.74,493,79,60,56,52,10,55,1.45,30,4,3,10,8,0,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats
30,34,766,22.53,540,75,37,54,42,18,81,2.38,54,4,3,12,6,2,/en/squads/0cdc4311/2018-2019/Augsburg-Stats
24,34,1135,33.38,794,103,84,88,54,12,147,4.32,98,10,13,19,4,3,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
23,34,796,23.41,583,57,50,46,48,12,142,4.18,105,6,7,11,10,3,/en/squads/add600ae/2018-2019/Dortmund-Stats
24,34,731,21.5,511,78,38,50,39,15,85,2.5,57,4,9,6,4,5,/en/squads/b1278397/2018-2019/Dusseldorf-Stats
30,34,710,20.88,481,83,57,38,40,11,97,2.85,70,7,7,10,2,1,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats
28,34,734,21.59,515,71,42,47,46,13,71,2.09,44,6,0,10,9,2,/en/squads/a486e511/2018-2019/Freiburg-Stats
22,34,804,23.65,596,63,41,63,32,9,97,2.85,73,5,9,7,3,0,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats
32,34,662,19.47,457,64,41,36,49,15,55,1.62,43,2,4,2,4,0,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats
26,34,711,20.91,496,66,52,51,37,9,83,2.44,51,4,9,10,7,2,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats
29,34,1081,31.79,786,80,80,69,44,22,118,3.47,84,6,8,12,8,0,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
21,34,894,26.29,683,55,44,57,40,15,117,3.44,94,5,1,11,6,0,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats
28,34,861,25.32,630,67,59,49,41,15,77,2.26,54,3,9,4,4,3,/en/squads/a224b06a/2018-2019/Mainz-05-Stats
