players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
25,38,656,391,350,243,63,257,622,41.3,365,404,120,284,428,1084,1022,18,/en/squads/2abfe087/2018-2019/Watford-Stats
26,38,723,393,385,279,59,295,697,42.3,402,488,142,346,457,1180,926,16,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
21,38,720,408,385,284,51,283,664,42.6,381,499,148,351,501,1221,895,23,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
26,38,646,389,352,228,66,254,595,42.7,341,419,117,302,390,1036,1066,13,/en/squads/8d6fd021/2018-2019/Alaves-Stats
27,38,643,384,311,245,87,245,646,37.9,401,414,93,321,453,1096,815,7,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats
29,38,784,487,402,298,84,319,700,45.6,381,374,94,280,463,1247,837,12,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
30,38,537,346,218,232,87,226,492,45.9,266,360,101,259,391,928,565,16,/en/squads/206d90db/2018-2019/Barcelona-Stats
25,38,615,378,309,227,79,219,544,40.3,325,382,80,302,361,976,702,21,/en/squads/fc536746/2018-2019/Real-Betis-Stats
28,38,634,377,364,213,57,258,562,45.9,304,380,105,275,382,1016,889,19,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats
25,38,637,424,238,289,110,240,563,42.6,323,357,53,304,368,1005,683,10,/en/squads/bea5c710/2018-2019/Eibar-Stats
25,38,655,394,324,244,87,263,684,38.5,421,402,134,268,408,1063,950,14,/en/squads/a8661628/2018-2019/Espanyol-Stats
26,38,604,358,246,281,77,255,617,41.3,362,422,81,341,453,1057,888,15,/en/squads/7848bd64/2018-2019/Getafe-Stats
26,38,613,367,309,247,57,264,636,41.5,372,401,124,277,432,1045,928,14,/en/squads/9024a00a/2018-2019/Girona-Stats
30,38,712,452,363,290,59,303,694,43.7,391,414,107,307,440,1152,953,12,/en/squads/c6c493e6/2018-2019/Huesca-Stats
29,38,609,382,325,221,63,227,581,39.1,354,329,84,245,432,1041,907,10,/en/squads/7c6f2c78/2018-2019/Leganes-Stats
26,38,572,372,308,196,68,264,722,36.6,458,455,151,304,422,994,842,12,/en/squads/9800b6a1/2018-2019/Levante-Stats
29,38,651,422,369,223,59,257,592,43.4,335,388,77,311,433,1084,931,16,/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats
27,38,626,395,267,253,106,245,629,39.0,384,374,78,296,373,999,602,11,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
30,38,579,344,299,219,61,248,584,42.5,336,444,109,335,425,1004,842,19,/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats
27,38,598,408,288,237,73,203,513,39.6,310,370,114,256,365,963,817,15,/en/squads/ad2be733/2018-2019/Sevilla-Stats
25,38,598,384,299,228,71,238,588,40.5,350,447,120,327,418,1016,860,12,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
28,38,714,441,369,265,80,280,678,41.3,398,413,113,300,387,1101,874,16,/en/squads/17859612/2018-2019/Valladolid-Stats
26,38,667,413,333,255,79,273,659,41.4,386,406,142,264,390,1057,877,12,/en/squads/2a8183b3/2018-2019/Villarreal-Stats
26,38,629,384,313,244,72,256,611,41.9,355,389,141,248,396,1025,876,16,/en/squads/25622401/2018-2019/Amiens-Stats
24,38,673,399,351,254,68,259,623,41.6,364,396,109,287,420,1093,889,8,/en/squads/69236f98/2018-2019/Angers-Stats
33,38,720,447,359,303,58,296,666,44.4,370,394,114,280,391,1111,966,20,/en/squads/123f3efe/2018-2019/Bordeaux-Stats
26,38,709,435,373,271,65,291,621,46.9,330,403,141,262,489,1198,952,18,/en/squads/74229020/2018-2019/Caen-Stats
26,38,674,408,339,254,81,261,645,40.5,384,417,119,298,482,1156,826,14,/en/squads/8dfb7350/2018-2019/Dijon-Stats
30,38,684,431,320,299,65,275,551,49.9,276,416,112,304,421,1105,768,17,/en/squads/d41b5f53/2018-2019/Guingamp-Stats
25,38,628,378,295,272,61,263,583,45.1,320,377,106,271,387,1015,764,15,/en/squads/cb188c0c/2018-2019/Lille-Stats
25,38,637,384,285,266,86,231,492,47.0,261,406,136,270,363,1000,680,19,/en/squads/d53c0b06/2018-2019/Lyon-Stats
24,38,781,489,349,332,100,318,698,45.6,380,346,98,248,401,1182,690,18,/en/squads/5725cc7b/2018-2019/Marseille-Stats
42,38,686,422,322,271,93,301,660,45.6,359,334,86,248,386,1072,841,15,/en/squads/fd6114db/2018-2019/Monaco-Stats
25,38,759,431,364,305,90,304,676,45.0,372,411,105,306,484,1243,751,11,/en/squads/281b0e73/2018-2019/Montpellier-Stats
33,38,767,478,360,315,92,321,690,46.5,369,382,106,276,435,1202,831,6,/en/squads/d7a486cd/2018-2019/Nantes-Stats
30,38,662,420,331,264,67,287,617,46.5,330,410,108,302,450,1112,777,11,/en/squads/132ebc33/2018-2019/Nice-Stats
23,38,733,442,373,282,78,325,757,42.9,432,378,119,259,443,1176,832,8,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats
30,38,701,434,286,315,100,282,625,45.1,343,335,93,242,342,1043,535,20,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
27,38,760,454,423,257,80,291,647,45.0,356,364,111,253,486,1246,886,18,/en/squads/7fdd64e0/2018-2019/Reims-Stats
28,38,652,395,307,271,74,292,650,44.9,358,405,119,286,389,1041,779,10,/en/squads/b3072e00/2018-2019/Rennes-Stats
29,38,672,406,307,272,93,278,633,43.9,355,357,97,260,441,1113,774,24,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats
26,38,649,405,320,256,73,257,570,45.1,313,373,127,246,428,1077,751,12,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats
29,38,669,418,362,243,64,265,582,45.5,317,433,126,307,384,1053,947,17,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats
30,34,591,376,280,262,49,238,515,46.2,277,404,130,274,467,1058,754,15,/en/squads/0cdc4311/2018-2019/Augsburg-Stats
24,34,465,294,172,210,83,165,410,40.2,245,313,61,252,336,801,368,10,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
23,34,497,319,242,194,61,181,402,45.0,221,334,79,255,384,881,659,17,/en/squads/add600ae/2018-2019/Dortmund-Stats
24,34,625,384,345,233,47,250,621,40.3,371,374,107,267,419,1044,760,14,/en/squads/b1278397/2018-2019/Dusseldorf-Stats
30,34,598,371,291,246,61,233,539,43.2,306,465,102,363,360,958,708,4,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats
28,34,570,357,301,211,58,213,503,42.3,290,401,121,280,374,944,882,12,/en/squads/a486e511/2018-2019/Freiburg-Stats
22,34,498,292,258,192,48,198,466,42.5,268,382,102,280,310,808,648,18,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats
32,34,583,342,305,228,50,262,628,41.7,366,434,124,310,459,1042,797,10,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats
26,34,538,352,251,235,52,178,451,39.5,273,423,117,306,381,919,823,7,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats
29,34,571,363,260,237,74,206,528,39.0,322,419,104,315,399,970,638,13,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
21,34,583,368,298,217,68,230,543,42.4,313,416,96,320,358,941,687,7,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats
28,34,528,309,256,219,53,220,467,47.1,247,455,123,332,395,923,728,12,/en/squads/a224b06a/2018-2019/Mainz-05-Stats
27,34,551,350,335,175,41,253,560,45.2,307,382,119,263,354,905,840,12,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats
23,34,657,398,300,279,78,282,580,48.6,298,455,70,385,416,1073,717,1,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats
32,34,631,381,279,286,66,251,594,42.3,343,464,119,345,419,1050,657,16,/en/squads/c539e393/2018-2019/Schalke-04-Stats
26,34,576,362,299,217,60,204,476,42.9,272,422,116,306,399,975,898,12,/en/squads/598bc722/2018-2019/Stuttgart-Stats
24,34,549,344,256,230,63,216,553,39.1,337,426,109,317,407,956,817,10,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats
25,34,542,343,272,209,61,219,505,43.4,286,399,95,304,426,968,791,18,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats
27,38,638,397,278,277,83,269,577,46.6,308,433,96,337,454,1092,675,10,/en/squads/922493f3/2018-2019/Atalanta-Stats
29,38,689,430,365,252,72,262,631,41.5,369,463,142,321,372,1061,863,17,/en/squads/1d8099f8/2018-2019/Bologna-Stats
30,38,603,388,259,249,95,211,524,40.3,313,449,126,323,344,947,837,4,/en/squads/c4260e09/2018-2019/Cagliari-Stats
36,38,623,374,320,243,60,252,605,41.7,353,421,132,289,471,1094,988,18,/en/squads/cc919b35/2018-2019/Chievo-Stats
29,38,552,328,257,223,72,216,510,42.4,294,353,133,220,333,885,797,10,/en/squads/a3d88bd8/2018-2019/Empoli-Stats
27,38,592,371,272,238,82,199,470,42.3,271,401,130,271,413,1005,887,11,/en/squads/421387cf/2018-2019/Fiorentina-Stats
33,38,571,353,303,204,64,213,530,40.2,317,416,151,265,384,955,918,12,/en/squads/6a7ad59d/2018-2019/Frosinone-Stats
31,38,670,424,329,249,92,253,541,46.8,288,377,114,263,424,1094,858,10,/en/squads/658bf2de/2018-2019/Genoa-Stats
23,38,614,409,278,244,92,253,596,42.4,343,388,104,284,311,925,642,14,/en/squads/d609edc0/2018-2019/Internazionale-Stats
31,38,571,355,259,234,78,213,452,47.1,239,383,130,253,396,967,681,16,/en/squads/e0652b02/2018-2019/Juventus-Stats
30,38,658,406,295,284,79,280,599,46.7,319,415,136,279,432,1090,798,14,/en/squads/7213da33/2018-2019/Lazio-Stats
23,38,641,382,336,233,72,268,559,47.9,291,408,109,299,373,1014,845,14,/en/squads/dc56fe14/2018-2019/Milan-Stats
26,38,574,359,233,254,87,223,553,40.3,330,353,107,246,358,932,645,8,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
31,38,580,351,329,197,54,195,500,39.0,305,445,182,263,399,979,1147,12,/en/squads/eab4234c/2018-2019/Parma-Stats
26,38,535,344,246,212,77,199,479,41.5,280,389,154,235,419,954,822,16,/en/squads/cf74a709/2018-2019/Roma-Stats
28,38,579,374,314,201,64,218,493,44.2,275,411,136,275,388,967,877,15,/en/squads/1d2fe027/2018-2019/SPAL-Stats
24,38,647,425,290,258,99,276,567,48.7,291,418,122,296,364,1011,838,9,/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats
29,38,529,328,288,175,66,216,517,41.8,301,387,110,277,378,907,841,15,/en/squads/e2befd26/2018-2019/Sassuolo-Stats
25,38,636,394,272,283,81,226,506,44.7,280,462,117,345,451,1087,848,12,/en/squads/105360fe/2018-2019/Torino-Stats
31,38,651,387,341,250,60,245,554,44.2,309,450,161,289,381,1032,1065,15,/en/squads/04eea015/2018-2019/Udinese-Stats
