players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
28,38,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
28,38,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
21,38,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
23,38,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19,/en/squads/943e8050/2018-2019/Burnley-Stats
25,38,655,375,357,234,64,241,607,39.7,366,490,147,343,529,1184,1034,18,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
24,38,618,365,280,245,93,241,541,44.5,300,357,73,284,353,971,645,16,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
26,38,733,446,398,270,65,281,590,47.6,309,441,141,300,445,1178,1011,17,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
23,38,699,441,326,290,83,220,511,43.1,291,414,85,329,453,1152,877,21,/en/squads/d3fd31cc/2018-2019/Everton-Stats
28,38,596,362,310,231,55,224,524,42.7,300,425,144,281,434,1030,1030,28,/en/squads/fd962109/2018-2019/Fulham-Stats
31,38,708,425,323,315,70,263,625,42.1,362,496,130,366,531,1239,682,15,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
25,38,675,393,344,277,54,237,549,43.2,312,429,96,333,438,1113,1034,24,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
23,38,613,377,257,280,76,251,556,45.1,305,361,78,283,314,927,670,16,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
21,38,518,327,214,215,89,193,467,41.3,274,319,63,256,362,880,570,15,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
28,38,581,347,280,239,62,240,544,44.1,304,445,128,317,355,936,847,26,/en/squads/19538871/2018-2019/Manchester-United-Stats
24,38,711,433,356,291,64,241,565,42.7,324,472,135,337,506,1217,1204,16,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
30,38,698,428,335,283,80,277,646,42.9,369,533,153,380,549,1247,1128,18,/en/squads/33c895d4/2018-2019/Southampton-Stats
28,38,627,373,310,237,80,268,577,46.4,309,415,112,303,325,952,823,20,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
