players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
28,58.1,38,26670,2457,7996,12381,6492,984,26665,536,304,56.7,232,43.3,14890,82862,44451,868,591,203,564,409,18303,1869,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
28,46.9,38,22079,2437,7561,9507,5257,847,22071,578,291,50.3,287,49.7,13210,69260,36536,738,532,172,565,356,13405,1422,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
21,42.4,38,20254,2464,7030,9055,4366,581,20249,516,269,52.1,247,47.9,10122,54122,26537,475,374,98,590,336,11393,1138,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
23,41.2,38,19189,2542,6104,8875,4395,634,19186,370,207,55.9,163,44.1,7936,43013,21370,421,336,72,525,314,10031,1020,/en/squads/943e8050/2018-2019/Burnley-Stats
25,35.4,38,16261,2228,5452,6544,4470,713,16257,475,260,54.7,214,45.1,6221,39405,19337,434,310,135,519,332,7078,902,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
24,62.9,38,30774,2105,7613,14434,8968,1029,30769,703,449,63.9,253,36.0,18388,103404,58308,1058,897,251,512,458,22820,2135,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
26,45.2,38,21679,2323,7079,9743,5112,889,21668,667,377,56.5,290,43.5,10553,62673,32736,771,496,227,576,473,12599,1448,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
23,51.5,38,23015,2175,6887,10485,5873,856,23011,587,328,55.9,258,44.0,12685,66255,34030,697,522,166,693,469,13764,1566,/en/squads/d3fd31cc/2018-2019/Everton-Stats
28,48.8,38,23757,2587,7287,11921,4743,592,23754,566,352,62.2,214,37.8,10604,61784,30746,628,461,117,594,486,14992,1471,/en/squads/fd962109/2018-2019/Fulham-Stats
31,47.2,38,21977,2079,6878,10026,5306,600,21976,443,230,51.9,213,48.1,10888,56003,26785,601,496,108,567,399,12938,1233,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
25,50.9,38,23657,2242,7084,10997,5824,804,23650,664,392,59.0,272,41.0,13747,72168,38343,752,572,197,582,357,14553,1530,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
23,61.8,38,29528,1938,6900,15347,7500,1124,29521,619,356,57.5,263,42.5,19312,91672,48858,857,765,221,603,424,21029,1988,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
21,67.9,38,32238,1825,6098,16583,9800,1458,32234,734,437,59.5,296,40.3,22457,118990,68197,1325,1017,366,509,393,24519,2412,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
28,54.7,38,25095,2262,6748,12550,5992,893,25083,553,321,58.0,231,41.8,13180,70206,39118,801,594,215,528,424,16742,1662,/en/squads/19538871/2018-2019/Manchester-United-Stats
24,40.4,38,20048,2360,7025,8767,4458,641,20045,444,236,53.2,207,46.6,8749,46542,23595,467,410,95,590,400,10705,976,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
30,43.4,38,20812,2150,5984,9949,5087,709,20807,508,287,56.5,221,43.5,9653,54428,27555,603,444,155,539,380,11354,1313,/en/squads/33c895d4/2018-2019/Southampton-Stats
