players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
26,38,111,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,46.9,/en/squads/7848bd64/2018-2019/Getafe-Stats
26,38,83,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,49.8,/en/squads/9024a00a/2018-2019/Girona-Stats
30,38,114,3,1,579,442,94,771,440,452,5,9,3,2029,740,762,49.3,/en/squads/c6c493e6/2018-2019/Huesca-Stats
29,38,106,4,2,542,398,75,744,432,382,3,4,1,1942,914,721,55.9,/en/squads/7c6f2c78/2018-2019/Leganes-Stats
26,38,112,7,5,501,487,85,674,422,372,6,9,2,1969,469,571,45.1,/en/squads/9800b6a1/2018-2019/Levante-Stats
29,38,106,8,5,567,455,71,783,433,422,5,11,1,1996,535,587,47.7,/en/squads/98e8af82/2018-2019/Rayo-Vallecano-Stats
27,38,83,6,4,446,545,112,762,373,395,8,8,0,1957,479,434,52.5,/en/squads/53a2f082/2018-2019/Real-Madrid-Stats
30,38,82,4,2,492,544,92,627,425,344,7,3,2,2021,699,651,51.8,/en/squads/e31d1cd9/2018-2019/Real-Sociedad-Stats
27,38,118,6,4,536,462,111,812,365,408,5,7,0,2050,651,724,47.3,/en/squads/ad2be733/2018-2019/Sevilla-Stats
25,38,90,3,2,463,514,75,715,418,384,6,8,2,2016,596,621,49.0,/en/squads/dcc91a7b/2018-2019/Valencia-Stats
28,38,92,0,0,521,521,96,804,387,441,6,9,1,1967,595,854,41.1,/en/squads/17859612/2018-2019/Valladolid-Stats
26,38,118,3,3,518,412,95,618,390,413,3,5,3,1914,613,629,49.4,/en/squads/2a8183b3/2018-2019/Villarreal-Stats
26,38,62,6,3,521,519,65,586,396,384,1,9,2,1918,722,705,50.6,/en/squads/25622401/2018-2019/Amiens-Stats
24,38,49,4,0,449,445,51,628,420,399,10,5,2,1946,616,565,52.2,/en/squads/69236f98/2018-2019/Angers-Stats
33,38,74,5,0,545,497,60,658,391,447,3,7,0,2158,660,721,47.8,/en/squads/123f3efe/2018-2019/Bordeaux-Stats
26,38,83,6,4,559,500,50,647,489,435,3,8,2,1911,756,822,47.9,/en/squads/74229020/2018-2019/Caen-Stats
26,38,79,7,4,573,443,59,606,482,408,1,3,1,1963,694,800,46.5,/en/squads/8dfb7350/2018-2019/Dijon-Stats
30,38,58,5,0,486,464,54,809,421,431,4,6,0,1990,778,843,48.0,/en/squads/d41b5f53/2018-2019/Guingamp-Stats
25,38,71,4,1,479,510,39,575,387,378,10,10,0,2018,564,575,49.5,/en/squads/cb188c0c/2018-2019/Lille-Stats
25,38,57,3,2,443,469,94,684,363,384,9,5,3,2028,612,513,54.4,/en/squads/d53c0b06/2018-2019/Lyon-Stats
24,38,83,8,1,501,455,46,827,401,489,2,12,0,1949,695,622,52.8,/en/squads/5725cc7b/2018-2019/Marseille-Stats
42,38,92,6,1,528,505,55,748,386,422,5,8,2,1941,611,594,50.7,/en/squads/fd6114db/2018-2019/Monaco-Stats
25,38,61,4,1,537,478,58,749,484,431,2,5,2,2061,729,741,49.6,/en/squads/281b0e73/2018-2019/Montpellier-Stats
33,38,75,6,3,493,496,77,725,435,478,7,8,0,2173,767,685,52.8,/en/squads/d7a486cd/2018-2019/Nantes-Stats
30,38,73,5,1,425,518,40,495,450,420,7,6,1,1957,516,502,50.7,/en/squads/132ebc33/2018-2019/Nice-Stats
23,38,71,5,2,487,494,40,736,443,442,3,5,1,2030,693,828,45.6,/en/squads/1cbf5f9e/2018-2019/Nimes-Stats
30,38,64,4,0,474,444,92,588,342,434,10,6,4,2060,402,336,54.5,/en/squads/e2d8892c/2018-2019/Paris-Saint-Germain-Stats
27,38,67,2,0,532,467,79,633,486,454,2,7,2,2029,647,718,47.4,/en/squads/7fdd64e0/2018-2019/Reims-Stats
28,38,70,3,2,490,486,61,663,389,395,9,5,1,2032,625,560,52.7,/en/squads/b3072e00/2018-2019/Rennes-Stats
29,38,67,7,4,454,456,60,770,441,406,4,9,1,1948,609,643,48.6,/en/squads/d298ef2c/2018-2019/Saint-Etienne-Stats
26,38,71,4,1,512,404,43,719,428,405,5,9,1,1940,631,615,50.6,/en/squads/c0d3eab4/2018-2019/Strasbourg-Stats
29,38,77,5,2,558,468,69,629,384,418,8,6,1,2024,712,653,52.2,/en/squads/3f8c4b5f/2018-2019/Toulouse-Stats
30,34,55,1,0,458,349,85,603,467,376,2,2,2,1875,654,699,48.3,/en/squads/0cdc4311/2018-2019/Augsburg-Stats
24,34,44,2,2,312,342,88,777,336,294,4,6,1,1979,522,444,54.0,/en/squads/054efa67/2018-2019/Bayern-Munich-Stats
23,34,40,3,0,292,385,66,458,384,319,3,5,0,1784,461,472,49.4,/en/squads/add600ae/2018-2019/Dortmund-Stats
24,34,67,1,0,432,404,49,544,419,384,3,7,0,1725,609,608,50.0,/en/squads/b1278397/2018-2019/Dusseldorf-Stats
30,34,60,3,2,420,346,81,678,360,371,1,1,1,2032,819,712,53.5,/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats
28,34,57,3,3,412,408,51,528,374,357,4,7,0,1649,553,669,45.3,/en/squads/a486e511/2018-2019/Freiburg-Stats
22,34,43,0,0,333,357,70,565,310,292,5,3,0,1680,426,549,43.7,/en/squads/32f3ee20/2018-2019/Monchengladbach-Stats
32,34,64,4,3,421,420,58,522,459,342,2,7,1,1788,617,716,46.3,/en/squads/60b5e41f/2018-2019/Hannover-96-Stats
26,34,67,5,3,447,374,75,554,381,352,3,6,2,1746,693,640,52.0,/en/squads/2818f8bc/2018-2019/Hertha-BSC-Stats
29,34,69,2,2,471,348,66,667,399,363,5,7,1,1847,521,531,49.5,/en/squads/033ea6b8/2018-2019/Hoffenheim-Stats
21,34,50,1,0,367,383,65,633,358,368,3,6,3,2020,541,554,49.4,/en/squads/c7a9f859/2018-2019/Bayer-Leverkusen-Stats
28,34,56,0,0,430,359,83,646,395,309,3,4,0,1843,658,627,51.2,/en/squads/a224b06a/2018-2019/Mainz-05-Stats
27,34,59,4,1,394,381,53,495,354,350,5,4,2,1646,621,669,48.1,/en/squads/6f2c108c/2018-2019/Nurnberg-Stats
23,34,61,1,0,465,393,87,616,416,398,3,6,1,1998,743,603,55.2,/en/squads/acbb6a5b/2018-2019/RB-Leipzig-Stats
32,34,73,5,1,454,397,79,521,419,381,7,6,1,1886,600,559,51.8,/en/squads/c539e393/2018-2019/Schalke-04-Stats
26,34,66,5,2,374,399,67,727,399,362,0,3,4,1720,723,691,51.1,/en/squads/598bc722/2018-2019/Stuttgart-Stats
24,34,64,3,3,437,346,40,676,407,344,4,5,0,1825,605,662,47.8,/en/squads/62add3bf/2018-2019/Werder-Bremen-Stats
25,34,62,0,0,358,439,67,682,426,343,3,6,0,1813,610,573,51.6,/en/squads/4eaa11d7/2018-2019/Wolfsburg-Stats
27,38,63,3,1,445,501,71,801,454,397,3,5,3,2247,628,551,53.3,/en/squads/922493f3/2018-2019/Atalanta-Stats
29,38,94,6,3,516,519,83,737,372,430,2,4,1,1877,748,716,51.1,/en/squads/1d8099f8/2018-2019/Bologna-Stats
30,38,99,9,5,573,454,58,794,344,388,3,10,2,1946,850,758,52.9,/en/squads/c4260e09/2018-2019/Cagliari-Stats
36,38,116,7,6,588,476,78,677,471,374,3,4,2,1944,695,732,48.7,/en/squads/cc919b35/2018-2019/Chievo-Stats
29,38,74,3,1,458,440,77,636,333,328,5,8,2,1865,431,544,44.2,/en/squads/a3d88bd8/2018-2019/Empoli-Stats
27,38,91,5,2,562,507,48,780,413,371,5,6,3,1973,637,623,50.6,/en/squads/421387cf/2018-2019/Fiorentina-Stats
33,38,99,2,0,560,536,73,815,384,353,5,5,1,1873,621,715,46.5,/en/squads/6a7ad59d/2018-2019/Frosinone-Stats
31,38,96,7,2,559,481,65,797,424,424,4,6,2,1981,758,749,50.3,/en/squads/658bf2de/2018-2019/Genoa-Stats
23,38,75,3,2,468,488,64,1092,311,409,5,5,3,1995,519,589,46.8,/en/squads/d609edc0/2018-2019/Internazionale-Stats
31,38,78,4,2,471,469,75,867,396,355,5,4,1,1946,534,469,53.2,/en/squads/e0652b02/2018-2019/Juventus-Stats
30,38,90,4,1,502,391,97,738,432,406,3,6,3,2112,612,539,53.2,/en/squads/7213da33/2018-2019/Lazio-Stats
23,38,82,5,2,445,478,63,752,373,382,2,5,1,1899,480,512,48.4,/en/squads/dc56fe14/2018-2019/Milan-Stats
26,38,75,5,3,410,414,85,774,358,359,0,4,0,2171,386,440,46.7,/en/squads/d48ad4ff/2018-2019/Napoli-Stats
31,38,84,3,2,493,433,91,511,399,351,5,8,5,1785,561,615,47.7,/en/squads/eab4234c/2018-2019/Parma-Stats
26,38,90,2,2,461,395,50,855,419,344,5,7,1,1954,727,547,57.1,/en/squads/cf74a709/2018-2019/Roma-Stats
28,38,113,3,1,499,550,37,863,388,374,7,5,0,1772,569,577,49.7,/en/squads/1d2fe027/2018-2019/SPAL-Stats
24,38,92,3,3,493,510,70,641,364,425,7,8,1,2030,471,522,47.4,/en/squads/8ff9e3b3/2018-2019/Sampdoria-Stats
29,38,90,8,3,528,528,73,660,378,328,4,8,2,1864,464,510,47.6,/en/squads/e2befd26/2018-2019/Sassuolo-Stats
25,38,89,4,1,617,570,75,751,451,394,5,5,0,2193,824,838,49.6,/en/squads/105360fe/2018-2019/Torino-Stats
31,38,92,4,2,505,469,66,585,381,387,7,9,1,1833,693,662,51.1,/en/squads/04eea015/2018-2019/Udinese-Stats
