players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
28,38,74,2,1,412,455,89,605,412,366,4,7,1,2000,555,637,46.6,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
28,38,60,1,0,340,441,57,613,371,299,8,5,3,1910,701,736,48.8,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
21,38,62,4,1,463,301,90,636,463,391,5,10,0,1979,824,780,51.4,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
23,38,75,1,0,360,356,106,692,367,311,1,3,4,1955,1016,1025,49.8,/en/squads/943e8050/2018-2019/Burnley-Stats
25,38,66,1,0,374,390,77,562,529,375,2,7,0,1975,966,966,50.0,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
24,38,49,0,0,339,424,83,692,353,365,5,2,0,2171,523,504,50.9,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
26,38,59,2,1,386,391,78,577,445,446,10,5,1,1996,680,706,49.1,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
23,38,57,4,1,432,418,69,814,453,441,4,5,2,2157,872,877,49.9,/en/squads/d3fd31cc/2018-2019/Everton-Stats
28,38,72,2,2,423,342,90,611,434,362,2,7,2,2072,742,718,50.8,/en/squads/fd962109/2018-2019/Fulham-Stats
31,38,57,4,1,420,370,63,768,531,425,1,9,1,2063,844,807,51.1,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
25,38,63,5,3,351,378,72,779,438,393,6,5,0,2087,811,679,54.4,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
23,38,41,2,2,315,347,77,721,314,377,7,1,0,2111,593,587,50.3,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
21,38,44,1,0,328,301,98,783,362,327,4,4,0,2000,540,522,50.8,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
28,38,77,4,2,433,397,90,638,355,347,11,6,3,1969,687,550,55.5,/en/squads/19538871/2018-2019/Manchester-United-Stats
24,38,57,2,0,423,332,59,711,506,433,2,6,1,2034,785,914,46.2,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
30,38,75,3,2,420,341,61,666,549,428,4,3,3,2053,767,873,46.8,/en/squads/33c895d4/2018-2019/Southampton-Stats
28,38,58,3,1,376,364,74,643,325,373,3,5,3,2107,599,611,49.5,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
25,38,80,4,1,433,382,89,570,428,391,1,5,3,2021,753,797,48.6,/en/squads/2abfe087/2018-2019/Watford-Stats
26,38,59,1,0,331,388,71,631,457,393,5,5,1,2104,636,620,50.6,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
21,38,73,1,0,409,325,73,622,501,408,4,4,4,2239,803,788,50.5,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
26,38,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,49.3,/en/squads/8d6fd021/2018-2019/Alaves-Stats
27,38,120,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,56.1,/en/squads/2b390eca/2018-2019/Athletic-Club-Stats
29,38,103,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,53.5,/en/squads/db3b9613/2018-2019/Atletico-Madrid-Stats
30,38,77,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,55.2,/en/squads/206d90db/2018-2019/Barcelona-Stats
25,38,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,49.8,/en/squads/fc536746/2018-2019/Real-Betis-Stats
28,38,84,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,52.0,/en/squads/f25da7fb/2018-2019/Celta-Vigo-Stats
25,38,82,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,49.5,/en/squads/bea5c710/2018-2019/Eibar-Stats
25,38,92,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,50.4,/en/squads/a8661628/2018-2019/Espanyol-Stats
