players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
29,38,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
28,38,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
27,38,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
25,38,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
22,38,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15,/en/squads/943e8050/2019-2020/Burnley-Stats
27,38,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
25,38,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
24,38,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13,/en/squads/d3fd31cc/2019-2020/Everton-Stats
24,38,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
24,38,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
24,38,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
29,38,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14,/en/squads/19538871/2019-2020/Manchester-United-Stats
28,38,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
30,38,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20,/en/squads/1c781004/2019-2020/Norwich-City-Stats
26,38,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
25,38,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21,/en/squads/33c895d4/2019-2020/Southampton-Stats
29,38,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
26,38,657,369,347,249,61,267,713,37.4,446,396,135,261,424,1081,869,4,/en/squads/2abfe087/2019-2020/Watford-Stats
29,38,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
21,38,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
32,38,579,346,261,265,53,255,619,41.2,364,385,114,271,392,971,766,7,/en/squads/8d6fd021/2019-2020/Alaves-Stats
26,38,533,324,262,204,67,217,613,35.4,396,339,92,247,373,906,755,7,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats
30,38,658,406,293,272,93,283,640,44.2,357,380,108,272,412,1070,729,18,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
28,38,536,323,216,223,97,211,501,42.1,290,313,87,226,342,878,529,16,/en/squads/206d90db/2019-2020/Barcelona-Stats
27,38,501,299,276,173,52,221,511,43.2,290,336,119,217,302,803,682,8,/en/squads/fc536746/2019-2020/Real-Betis-Stats
30,38,589,357,344,193,52,251,615,40.8,364,345,89,256,396,985,807,12,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
26,38,567,338,240,228,99,264,607,43.5,343,332,81,251,430,997,692,8,/en/squads/bea5c710/2019-2020/Eibar-Stats
31,38,628,364,303,253,72,257,701,36.7,444,380,96,284,360,988,731,17,/en/squads/a8661628/2019-2020/Espanyol-Stats
30,38,580,341,235,263,82,235,573,41.0,338,374,60,314,367,947,625,12,/en/squads/7848bd64/2019-2020/Getafe-Stats
27,38,584,349,257,257,70,238,570,41.8,332,375,118,257,383,967,750,10,/en/squads/a0435291/2019-2020/Granada-Stats
29,38,603,357,317,215,71,254,610,41.6,356,320,73,247,418,1021,687,7,/en/squads/7c6f2c78/2019-2020/Leganes-Stats
29,38,507,288,281,173,53,204,532,38.3,328,317,107,210,331,838,763,14,/en/squads/9800b6a1/2019-2020/Levante-Stats
32,38,545,338,280,213,52,227,602,37.7,375,360,117,243,376,921,672,9,/en/squads/2aa12281/2019-2020/Mallorca-Stats
31,38,613,361,275,267,71,267,617,43.3,350,385,98,287,417,1030,738,19,/en/squads/03c57e2b/2019-2020/Osasuna-Stats
26,38,586,355,252,253,81,226,595,38.0,369,367,77,290,381,967,590,13,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
27,38,551,321,254,224,73,252,573,44.0,321,346,79,267,320,871,694,12,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats
26,38,587,344,274,246,67,261,661,39.5,400,331,94,237,346,933,704,10,/en/squads/ad2be733/2019-2020/Sevilla-Stats
28,38,500,311,270,173,57,232,589,39.4,357,334,130,204,360,860,748,12,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
30,38,568,327,316,204,48,239,672,35.6,433,391,112,279,390,958,749,13,/en/squads/17859612/2019-2020/Valladolid-Stats
25,38,553,323,250,239,64,218,602,36.2,384,362,116,246,339,892,814,12,/en/squads/2a8183b3/2019-2020/Villarreal-Stats
