players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
29,53.8,38,24424,2737,8368,10648,5628,821,24421,697,411,59.0,286,41.0,14410,85069,46708,815,534,209,547,370,16527,1630,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
28,44.1,38,19977,2658,7038,8203,4969,695,19974,569,352,61.9,217,38.1,10317,61373,31557,639,476,139,546,313,11546,1229,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
27,44.1,38,20872,2556,7472,8683,4916,717,20868,602,325,54.0,277,46.0,12070,62723,31212,601,424,136,571,384,11946,1238,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
25,52.2,38,24387,2721,8174,10724,5693,770,24385,584,335,57.4,249,42.6,13074,73950,37898,669,502,165,626,399,15782,1661,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
22,41.9,38,18827,2224,5596,8993,4410,617,18823,454,246,54.2,208,45.8,8828,46545,21653,437,352,71,509,291,9969,882,/en/squads/943e8050/2019-2020/Burnley-Stats
27,60.4,38,29489,2281,8311,13996,7423,1063,29482,718,460,64.1,258,35.9,18488,98638,51643,983,725,222,583,414,20848,1880,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
25,44.8,38,20928,2377,7276,9017,4876,793,20925,698,432,61.9,266,38.1,10305,58519,29301,596,428,198,611,479,12187,1208,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
24,49.0,38,22035,2514,7389,9561,5301,838,22034,609,374,61.4,235,38.6,12432,65428,32588,623,502,146,593,345,13344,1421,/en/squads/d3fd31cc/2019-2020/Everton-Stats
24,57.1,38,26247,2187,7814,12226,6415,925,26240,688,377,54.8,311,45.2,16018,77180,39583,739,561,223,602,328,17485,1601,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
24,62.9,38,29749,2077,7168,14888,7909,1193,29744,658,387,58.8,271,41.2,20166,94610,50195,967,782,252,607,306,21151,1925,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
24,66.2,38,31884,2009,6806,15609,9720,1473,31873,721,487,67.5,235,32.6,23022,118327,66426,1199,964,377,456,341,24428,2453,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
29,55.8,38,25838,2167,7222,11840,6993,878,25824,747,446,59.7,301,40.3,14498,83016,46282,926,681,255,559,396,17632,1779,/en/squads/19538871/2019-2020/Manchester-United-Stats
28,39.0,38,18911,2401,7097,8182,3875,542,18910,674,400,59.3,274,40.7,9917,54621,27300,537,426,138,594,288,10526,826,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
30,49.3,38,23409,3125,9058,9868,4701,661,23407,706,427,60.5,278,39.4,14090,74844,38544,673,476,177,591,405,14835,1159,/en/squads/1c781004/2019-2020/Norwich-City-Stats
26,43.1,38,21000,2180,6190,8918,6070,733,20999,535,346,64.7,187,35.0,9508,48303,23773,493,375,116,519,292,12015,1334,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
25,48.9,38,22200,2123,6196,10753,5497,811,22196,680,423,62.2,257,37.8,10579,58592,29795,628,459,182,654,362,12363,1308,/en/squads/33c895d4/2019-2020/Southampton-Stats
29,52.0,38,24729,2568,7603,11826,5549,710,24725,747,449,60.1,297,39.8,15489,76394,39387,768,573,182,577,437,15997,1398,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
26,42.9,38,20081,2134,6250,8911,5148,805,20073,576,321,55.7,254,44.1,10429,54446,27529,578,446,162,549,348,11126,1152,/en/squads/2abfe087/2019-2020/Watford-Stats
29,44.1,38,20993,2159,6259,9681,5265,746,20989,663,397,59.9,264,39.8,11155,62372,30145,667,485,169,496,322,12348,1370,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
21,48.3,38,22660,1987,6969,10797,5105,779,22656,817,509,62.3,308,37.7,11543,66813,36391,858,559,229,540,338,14176,1320,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
32,41.5,38,17865,2032,6060,8359,3622,508,17859,497,251,50.5,246,49.5,9373,44654,20855,403,307,100,535,309,9525,936,/en/squads/8d6fd021/2019-2020/Alaves-Stats
26,48.7,38,20857,2064,6212,9835,5031,594,20847,587,337,57.4,250,42.6,10354,58313,30842,604,493,110,576,299,12422,1273,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats
30,48.6,38,21860,1918,6182,10585,5274,807,21852,543,348,64.1,195,35.9,11872,58628,30072,598,516,156,586,377,13506,1323,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
28,66.4,38,31713,2419,7683,15606,8628,1066,31707,793,524,66.1,269,33.9,20416,102227,57254,923,864,243,444,354,24606,2036,/en/squads/206d90db/2019-2020/Barcelona-Stats
27,56.7,38,23715,2485,7853,10431,5665,845,23707,713,445,62.4,268,37.6,14024,78775,41021,834,634,200,548,355,16065,1463,/en/squads/fc536746/2019-2020/Real-Betis-Stats
30,51.7,38,22576,2291,7505,10374,4906,585,22567,610,370,60.7,240,39.3,12921,68433,33492,670,521,133,541,375,14460,1358,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
26,46.3,38,19501,1777,5164,9086,5479,633,19491,458,260,56.8,198,43.2,9587,48746,21965,424,409,110,564,355,10333,1246,/en/squads/bea5c710/2019-2020/Eibar-Stats
31,47.4,38,20282,2092,6860,9234,4417,604,20278,489,281,57.5,208,42.5,10645,59325,29721,561,405,103,576,331,11783,1222,/en/squads/a8661628/2019-2020/Espanyol-Stats
30,45.0,38,17737,1484,4842,7903,5206,650,17730,476,274,57.6,202,42.4,7551,40426,18906,416,330,82,635,318,8211,1179,/en/squads/7848bd64/2019-2020/Getafe-Stats
