players_used,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,url
28,38,24758,28227,87.7,391043,120014,12607,13663,92.3,9115,9972,91.4,1889,2618,72.2,62,49.5,51.2,12.5,384,1827,417,31,2042,/en/squads/206d90db/2019-2020/Barcelona-Stats
27,38,16182,19823,81.6,284815,94491,7354,8220,89.5,6504,7416,87.7,1774,2986,59.4,35,36.9,33.8,-1.9,360,1015,322,84,1475,/en/squads/fc536746/2019-2020/Real-Betis-Stats
30,38,14552,18557,78.4,249113,90321,6742,7687,87.7,5746,6750,85.1,1422,2704,52.6,26,26.2,26.2,-0.2,279,970,253,60,1364,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
26,38,10439,15551,67.1,207816,83924,4422,5456,81.0,4008,5354,74.9,1713,3829,44.7,24,26.0,26.3,-2.0,292,1007,224,108,1265,/en/squads/bea5c710/2019-2020/Eibar-Stats
31,38,11881,16363,72.6,224795,87287,4830,5791,83.4,5174,6369,81.2,1528,3235,47.2,17,27.3,26.7,-10.3,283,962,222,86,1240,/en/squads/a8661628/2019-2020/Espanyol-Stats
30,38,8319,13715,60.7,165204,78265,3535,4713,75.0,2977,4408,67.5,1466,3508,41.8,31,27.9,26.6,3.1,284,970,275,130,1196,/en/squads/7848bd64/2019-2020/Getafe-Stats
27,38,9810,14105,69.5,190418,79655,3970,4840,82.0,3979,5089,78.2,1486,3136,47.4,34,30.5,26.2,3.5,275,822,176,69,1009,/en/squads/a0435291/2019-2020/Granada-Stats
29,38,10336,14838,69.7,189358,81026,4801,5718,84.0,3782,4953,76.4,1390,3161,44.0,19,27.7,25.4,-8.7,292,890,223,95,1165,/en/squads/7c6f2c78/2019-2020/Leganes-Stats
29,38,12415,16332,76.0,226838,91955,5677,6494,87.4,4771,5765,82.8,1611,3073,52.4,28,36.3,27.2,-8.3,326,983,253,75,1358,/en/squads/9800b6a1/2019-2020/Levante-Stats
32,38,11782,15636,75.4,202286,85060,5648,6558,86.1,4220,5197,81.2,1275,2576,49.5,21,25.4,26.6,-4.4,309,831,211,73,1210,/en/squads/2aa12281/2019-2020/Mallorca-Stats
31,38,10959,15904,68.9,208476,88813,4772,5858,81.5,4189,5547,75.5,1654,3435,48.2,26,34.4,29.5,-8.4,341,946,267,94,1359,/en/squads/03c57e2b/2019-2020/Osasuna-Stats
26,38,20107,23733,84.7,352395,113608,9829,10697,91.9,7274,8243,88.2,2405,3556,67.6,52,49.9,47.3,2.1,438,1548,400,100,1972,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
27,38,15989,20229,79.0,284541,99278,6898,7968,86.6,7100,8250,86.1,1568,2851,55.0,38,35.4,34.4,2.6,323,1136,327,86,1588,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats
26,38,17525,21733,80.6,319775,106262,7645,8604,88.9,7011,8197,85.5,2222,3526,63.0,35,38.4,39.4,-3.4,359,1272,343,110,1823,/en/squads/ad2be733/2019-2020/Sevilla-Stats
28,38,14490,18258,79.4,261347,90968,6320,7145,88.5,5926,6878,86.2,1705,3096,55.1,34,31.7,29.7,2.3,253,974,273,59,1378,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
30,38,11187,15457,72.4,210278,81923,4901,5779,84.8,4401,5426,81.1,1531,3230,47.4,19,24.0,20.5,-5.0,254,841,155,57,1106,/en/squads/17859612/2019-2020/Valladolid-Stats
25,38,16218,20045,80.9,294996,98849,7011,7907,88.7,6626,7599,87.2,2025,3322,61.0,40,43.1,37.4,-3.1,368,1112,276,75,1483,/en/squads/2a8183b3/2019-2020/Villarreal-Stats
27,28,9685,12850,75.4,167666,69296,4758,5530,86.0,3638,4570,79.6,1006,2015,49.9,20,16.9,17.5,3.1,161,739,127,41,1013,/en/squads/25622401/2019-2020/Amiens-Stats
26,28,10518,13458,78.2,183652,73734,4767,5387,88.5,4021,4778,84.2,1219,2274,53.6,21,23.0,21.8,-2.0,267,736,195,68,1088,/en/squads/69236f98/2019-2020/Angers-Stats
26,28,12252,15092,81.2,216236,76128,5301,5940,89.2,5471,6290,87.0,1140,2058,55.4,29,21.6,18.0,7.4,217,723,112,31,995,/en/squads/123f3efe/2019-2020/Bordeaux-Stats
24,28,11054,14206,77.8,208602,76093,4569,5299,86.2,4931,5835,84.5,1383,2456,56.3,27,22.1,21.4,4.9,250,786,211,70,1138,/en/squads/fb08dbb3/2019-2020/Brest-Stats
28,28,10073,13029,77.3,191350,76241,4221,4899,86.2,4300,5125,83.9,1352,2415,56.0,17,22.9,18.7,-5.9,243,705,175,52,909,/en/squads/8dfb7350/2019-2020/Dijon-Stats
25,28,11263,14278,78.9,195316,68944,4937,5631,87.7,4595,5338,86.1,1168,2167,53.9,25,24.5,22.4,0.5,255,867,178,50,1077,/en/squads/cb188c0c/2019-2020/Lille-Stats
27,28,13273,15983,83.0,233751,78097,5867,6557,89.5,5651,6417,88.1,1367,2144,63.8,29,25.2,24.0,3.8,269,880,203,56,1208,/en/squads/d53c0b06/2019-2020/Lyon-Stats
23,28,11918,14767,80.7,199105,68034,5862,6565,89.3,4311,5070,85.0,1219,2111,57.7,28,25.8,21.2,2.2,283,791,177,47,1107,/en/squads/5725cc7b/2019-2020/Marseille-Stats
24,28,9568,12493,76.6,169420,63861,4411,5019,87.9,3816,4595,83.0,1042,2149,48.5,20,18.0,16.6,2.0,226,645,129,40,845,/en/squads/f83960ae/2019-2020/Metz-Stats
28,28,11667,14506,80.4,203444,75911,5366,6111,87.8,4871,5650,86.2,1134,1960,57.9,29,33.1,29.9,-4.1,280,918,231,52,1302,/en/squads/fd6114db/2019-2020/Monaco-Stats
27,28,9713,12825,75.7,189302,79566,3990,4707,84.8,4043,4848,83.4,1505,2568,58.6,19,23.2,20.7,-4.2,245,871,178,62,1104,/en/squads/281b0e73/2019-2020/Montpellier-Stats
29,28,10578,13673,77.4,182042,68386,5094,5897,86.4,4189,5013,83.6,1016,2038,49.9,16,23.6,22.3,-7.6,256,766,151,38,1034,/en/squads/d7a486cd/2019-2020/Nantes-Stats
31,28,13394,15644,85.6,234661,78151,5945,6511,91.3,6148,6752,91.1,1083,1790,60.5,30,24.9,20.6,5.1,243,836,165,41,1260,/en/squads/132ebc33/2019-2020/Nice-Stats
28,28,8100,11253,72.0,150389,62460,3604,4384,82.2,3332,4150,80.3,1004,2093,48.0,20,22.2,19.8,-2.2,244,699,164,58,959,/en/squads/1cbf5f9e/Nimes-Stats
31,27,16726,19009,88.0,265322,86299,8660,9279,93.3,6218,6843,90.9,1201,1715,70.0,51,54.4,49.3,-3.4,331,1195,379,54,1681,/en/squads/e2d8892c/2019-2020/Paris-Saint-Germain-Stats
26,28,10325,13260,77.9,196917,68147,4193,4859,86.3,4611,5416,85.1,1355,2389,56.7,16,22.1,17.1,-6.1,249,721,176,50,1042,/en/squads/7fdd64e0/2019-2020/Reims-Stats
26,28,10388,13199,78.7,190846,70232,4476,5169,86.6,4433,5163,85.9,1227,2150,57.1,26,25.6,20.8,0.4,241,708,163,58,936,/en/squads/b3072e00/2019-2020/Rennes-Stats
31,28,10048,13149,76.4,179624,66007,4427,5195,85.2,4198,5013,83.7,1101,2146,51.3,20,20.2,16.6,-0.2,219,687,145,43,979,/en/squads/d298ef2c/2019-2020/Saint-Etienne-Stats
25,27,10044,12842,78.2,195373,69947,3908,4556,85.8,4143,4872,85.0,1597,2582,61.9,21,22.9,20.6,-1.9,246,733,198,75,982,/en/squads/c0d3eab4/2019-2020/Strasbourg-Stats
30,28,9333,12290,75.9,159454,65760,4710,5440,86.6,3342,4089,81.7,997,2067,48.2,14,19.6,20.7,-5.6,230,655,165,57,949,/en/squads/3f8c4b5f/2019-2020/Toulouse-Stats
28,34,8439,12287,68.7,157794,67041,3561,4445,80.1,3403,4308,79.0,1149,2545,45.1,29,29.7,22.9,-0.7,256,542,169,53,815,/en/squads/0cdc4311/2019-2020/Augsburg-Stats
29,34,20587,24273,84.8,362049,120150,9119,10103,90.3,8654,9667,89.5,2153,3150,68.3,75,73.1,80.1,1.9,481,1717,498,120,2300,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats
27,34,20601,24071,85.6,342695,106977,9954,10940,91.0,8099,8993,90.1,1812,2720,66.6,74,50.6,46.4,23.4,358,1269,308,41,1736,/en/squads/add600ae/2019-2020/Dortmund-Stats
28,34,11367,15164,75.0,222976,87520,4518,5356,84.4,4852,5895,82.3,1737,3065,56.7,26,24.2,23.8,1.8,297,902,213,75,1268,/en/squads/b1278397/2019-2020/Dusseldorf-Stats
27,34,12302,16602,74.1,230242,95308,5138,6124,83.9,5233,6456,81.1,1567,2924,53.6,45,44.8,45.6,0.2,374,1052,283,128,1389,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats
26,34,12085,15762,76.7,233308,88480,4600,5443,84.5,5555,6461,86.0,1586,2893,54.8,27,33.0,31.3,-6.0,323,825,226,95,1128,/en/squads/a486e511/2019-2020/Freiburg-Stats
25,34,14321,17974,79.7,253262,94657,6206,7130,87.0,6115,7119,85.9,1530,2580,59.3,53,53.6,44.7,-0.6,353,940,277,55,1305,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats
32,34,11361,14961,75.9,224357,85887,4388,5188,84.6,4939,5960,82.9,1735,2940,59.0,35,32.7,29.0,2.3,270,768,185,69,1073,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats
31,34,14392,17932,80.3,255561,95532,6337,7147,88.7,6193,7124,86.9,1471,2658,55.3,36,40.2,34.2,-4.2,345,925,256,75,1261,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats
29,34,11195,15108,74.1,219640,90475,4315,5172,83.4,4871,5973,81.6,1721,3025,56.9,38,35.6,33.3,2.4,309,806,249,96,1158,/en/squads/bc357bf7/2019-2020/Koln-Stats
24,34,19042,22954,83.0,331206,109589,8525,9522,89.5,7998,8988,89.0,1891,3030,62.4,48,48.6,44.9,-0.6,394,1106,253,55,1471,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats
25,34,10245,13997,73.2,190213,79210,4413,5233,84.3,4136,5160,80.2,1356,2664,50.9,34,37.4,32.8,-3.4,340,809,230,65,1146,/en/squads/a224b06a/2019-2020/Mainz-05-Stats
27,34,11502,15172,75.8,215740,84031,4614,5427,85.0,4945,5926,83.4,1562,2706,57.7,26,26.8,22.4,-0.8,305,752,139,46,1009,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats
29,34,16241,20063,81.0,269438,99769,7531,8560,88.0,6424,7396,86.9,1421,2450,58.0,58,54.4,51.1,3.6,428,1263,339,67,1700,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats
29,34,12014,15752,76.3,219684,81535,5052,5932,85.2,5073,6019,84.3,1474,2721,54.2,25,25.5,25.8,-0.5,274,835,212,36,1201,/en/squads/c539e393/2019-2020/Schalke-04-Stats
26,34,9451,13664,69.2,179191,83697,3969,4928,80.5,3643,4732,77.0,1395,2884,48.4,27,28.0,28.6,-1.0,278,776,182,78,944,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats
30,34,12893,16729,77.1,229582,88246,5787,6722,86.1,5333,6410,83.2,1401,2555,54.8,30,25.8,30.0,4.2,320,923,237,67,1309,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats
26,34,11610,15677,74.1,222405,87941,4532,5502,82.4,5009,6105,82.0,1663,2975,55.9,33,37.9,35.4,-4.9,347,884,238,67,1247,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats
30,38,17945,21860,82.1,301978,102774,8671,9684,89.5,6817,7927,86.0,1732,2818,61.5,68,58.9,46.2,9.1,535,1291,440,99,1867,/en/squads/922493f3/2019-2020/Atalanta-Stats
31,38,14608,18465,79.1,251345,95729,6955,7886,88.2,5859,6959,84.2,1377,2513,54.8,31,41.3,30.8,-10.3,418,1201,293,67,1672,/en/squads/1d8099f8/2019-2020/Bologna-Stats
32,38,10833,14648,74.0,195788,80646,4731,5583,84.7,4291,5316,80.7,1347,2595,51.9,22,28.8,26.9,-6.8,288,830,253,78,1241,/en/squads/4ef57aeb/2019-2020/Brescia-Stats
33,38,13131,16868,77.8,245291,89789,5524,6270,88.1,5722,6815,84.0,1629,2973,54.8,34,32.0,26.6,2.0,344,984,246,87,1288,/en/squads/c4260e09/2019-2020/Cagliari-Stats
33,38,13589,17172,79.1,245422,91397,5835,6615,88.2,5843,6843,85.4,1535,2737,56.1,30,34.5,32.9,-4.5,420,1124,298,81,1446,/en/squads/421387cf/2019-2020/Fiorentina-Stats
34,38,14305,18157,78.8,249032,93026,6586,7416,88.8,5724,6778,84.4,1490,2775,53.7,28,27.6,26.7,0.4,301,937,292,103,1280,/en/squads/658bf2de/2019-2020/Genoa-Stats
30,38,13348,17641,75.7,234676,89110,5993,6965,86.0,5423,6571,82.5,1411,2861,49.3,27,34.5,29.7,-7.5,332,1084,319,70,1575,/en/squads/0e72edf2/2019-2020/Hellas-Verona-Stats
29,38,17232,20842,82.7,312663,106571,7232,8059,89.7,7508,8587,87.4,1989,2948,67.5,57,44.0,41.2,13.0,449,1301,400,98,1820,/en/squads/d609edc0/2019-2020/Internazionale-Stats
30,38,20149,23408,86.1,332903,110593,9684,10473,92.5,7782,8664,89.8,1816,2715,66.9,47,45.5,38.0,1.5,501,1629,336,70,1746,/en/squads/e0652b02/2019-2020/Juventus-Stats
27,38,15875,19415,81.8,281345,100800,7130,8009,89.0,6201,7132,86.9,1924,2976,64.7,45,42.5,35.9,2.5,434,1334,393,103,1668,/en/squads/7213da33/2019-2020/Lazio-Stats
30,38,13640,17104,79.7,254310,95358,5858,6659,88.0,5711,6659,85.8,1798,2925,61.5,30,32.6,30.1,-2.6,387,925,331,131,1356,/en/squads/ffcbe334/2019-2020/Lecce-Stats
32,38,17070,20701,82.5,294450,103334,8007,8954,89.4,6904,7872,87.7,1657,2775,59.7,38,46.0,38.9,-8.0,476,1346,377,83,1717,/en/squads/dc56fe14/2019-2020/Milan-Stats
25,38,21173,24596,86.1,336874,107510,11037,11917,92.6,7649,8622,88.7,1658,2522,65.7,45,46.8,40.7,-1.8,543,1566,414,86,2024,/en/squads/d48ad4ff/2019-2020/Napoli-Stats
25,38,12193,15756,77.4,236592,93205,4947,5720,86.5,4989,5959,83.7,1912,3155,60.6,38,33.9,23.5,4.1,339,881,230,56,1227,/en/squads/eab4234c/2019-2020/Parma-Stats
31,38,15972,19325,82.6,301750,102768,6509,7265,89.6,7241,8199,88.3,2006,3078,65.2,47,48.6,41.8,-1.6,477,1236,344,79,1651,/en/squads/cf74a709/2019-2020/Roma-Stats
34,38,13281,16878,78.7,236868,94077,6176,6950,88.9,5308,6326,83.9,1489,2773,53.7,17,26.5,24.4,-9.5,347,1060,222,65,1236,/en/squads/1d2fe027/2019-2020/SPAL-Stats
31,38,11918,15949,74.7,214283,86568,5325,6195,86.0,4861,6016,80.8,1364,2726,50.0,25,30.8,27.2,-5.8,400,1004,300,114,1369,/en/squads/8ff9e3b3/2019-2020/Sampdoria-Stats
31,38,18601,21873,85.0,298108,98300,9815,10667,92.0,7058,7896,89.4,1294,2223,58.2,49,39.2,31.7,9.8,423,1274,294,35,1590,/en/squads/e2befd26/2019-2020/Sassuolo-Stats
27,38,12572,16330,77.0,234941,88714,5436,6295,86.4,5089,6068,83.9,1728,3026,57.1,29,30.3,26.4,-1.3,338,852,297,135,1220,/en/squads/105360fe/2019-2020/Torino-Stats
25,38,13373,16971,78.8,235092,90315,6100,6891,88.5,5340,6354,84.0,1478,2657,55.6,26,33.5,25.9,-7.5,362,937,276,99,1274,/en/squads/04eea015/2019-2020/Udinese-Stats
