players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
29,38,20410,18463,1874,487,67,153,699,756,231,96,71,3,16634,73,320,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
28,38,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
27,38,16387,14488,1832,450,28,92,646,790,194,104,57,0,12042,67,390,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
25,38,20056,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
22,38,14694,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287,/en/squads/943e8050/2019-2020/Burnley-Stats
27,38,25213,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
25,38,16395,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
24,38,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,/en/squads/d3fd31cc/2019-2020/Everton-Stats
24,38,21800,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
24,38,25891,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
24,38,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
29,38,21725,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381,/en/squads/19538871/2019-2020/Manchester-United-Stats
28,38,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
