players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
2,38,48,7,0,9,0,51.8,0.23,3.8,0.1,92,364,25.3,964,233,24.8,31.4,314,39.8,35.5,606,25,4.1,42,1.11,13.2,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
4,38,67,5,1,9,1,51.6,0.25,-14.4,-0.38,240,665,36.1,862,179,50.1,37.2,343,67.9,49.4,628,23,3.7,28,0.74,16.1,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2,38,65,5,4,4,0,62.6,0.3,-2.4,-0.06,185,616,30.0,866,190,47.5,29.2,295,69.5,53.2,603,20,3.3,26,0.68,13.3,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
1,38,54,2,0,7,2,50.2,0.29,-1.8,-0.05,207,412,50.2,1201,255,25.3,29.0,274,39.4,33.4,526,20,3.8,26,0.68,13.7,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
1,38,50,4,0,7,1,45.7,0.25,-3.3,-0.09,263,870,30.2,883,180,67.6,47.1,304,89.8,63.7,623,52,8.3,48,1.26,14.9,/en/squads/943e8050/2019-2020/Burnley-Stats
2,38,54,2,2,9,3,37.5,0.31,-13.5,-0.36,102,302,33.8,1028,168,22.0,31.4,226,33.6,32.7,389,21,5.4,38,1.0,16.0,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
2,38,50,0,1,5,2,55.7,0.34,7.7,0.2,237,710,33.4,848,180,53.4,48.9,313,82.1,57.4,651,23,3.5,27,0.71,13.2,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
1,38,56,3,3,5,3,50.2,0.32,-2.8,-0.07,270,730,37.0,1104,195,51.3,40.1,275,59.6,46.8,510,24,4.7,25,0.66,13.4,/en/squads/d3fd31cc/2019-2020/Everton-Stats
1,38,41,8,0,5,2,44.3,0.26,5.3,0.14,180,398,45.2,951,159,31.5,33.0,241,40.7,36.1,507,14,2.8,34,0.89,17.2,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
