players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
29,25.8,38,3420,90,100,38,418,83,,123,21,163,1.47,56,48,8,0.21,47.0,55.3,-8.3,-0.22,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
28,25.7,38,3420,90,100,38,418,84,,113,22,173,0.92,41,67,-26,-0.68,44.3,67.8,-23.5,-0.62,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
27,25.2,38,3420,90,100,38,418,84,,108,23,176,0.89,40,65,-25,-0.66,44.8,62.3,-17.5,-0.46,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
25,26.4,38,3420,90,100,38,418,84,,128,20,155,1.08,39,54,-15,-0.39,45.4,55.0,-9.5,-0.25,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
22,28.0,38,3420,90,100,38,418,86,,74,20,206,1.42,43,50,-7,-0.18,47.4,49.8,-2.4,-0.06,/en/squads/943e8050/2019-2020/Burnley-Stats
27,25.5,38,3420,90,100,38,418,84,,117,20,166,1.74,69,54,15,0.39,69.2,38.6,30.6,0.81,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
25,29.4,38,3420,90,100,38,418,85,,98,20,185,1.13,31,50,-19,-0.5,35.8,57.0,-21.2,-0.56,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
24,25.5,38,3420,90,100,38,418,83,,120,24,164,1.29,44,56,-12,-0.32,50.8,48.3,2.5,0.07,/en/squads/d3fd31cc/2019-2020/Everton-Stats
24,26.1,38,3420,90,100,38,418,84,,112,21,172,1.63,67,41,26,0.68,62.2,45.5,16.7,0.44,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
24,26.6,38,3420,90,100,38,418,85,,127,17,157,2.61,85,33,52,1.37,68.9,37.7,31.2,0.82,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
24,26.9,38,3420,90,100,38,418,83,,120,22,166,2.13,102,35,67,1.76,92.0,36.2,55.7,1.47,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
29,24.8,38,3420,90,100,38,418,85,,119,16,165,1.74,66,36,30,0.79,62.2,37.7,24.5,0.64,/en/squads/19538871/2019-2020/Manchester-United-Stats
28,26.5,38,3420,90,100,38,418,84,,118,20,166,1.16,38,58,-20,-0.53,35.5,65.6,-30.1,-0.79,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
30,26.0,38,3420,90,100,38,418,85,,126,17,157,0.55,26,75,-49,-1.29,37.0,66.5,-29.5,-0.78,/en/squads/1c781004/2019-2020/Norwich-City-Stats
26,26.9,38,3420,90,100,38,418,84,,110,22,171,1.42,39,39,0,0.0,43.0,51.0,-7.9,-0.21,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
25,25.9,38,3420,90,100,38,418,85,,111,18,171,1.37,51,60,-9,-0.24,56.1,52.8,3.3,0.09,/en/squads/33c895d4/2019-2020/Southampton-Stats
29,26.7,38,3420,90,100,38,418,85,,113,18,171,1.55,61,47,14,0.37,47.9,54.2,-6.3,-0.17,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
26,28.9,38,3420,90,100,38,418,84,,113,20,171,0.89,36,64,-28,-0.74,48.9,58.1,-9.3,-0.24,/en/squads/2abfe087/2019-2020/Watford-Stats
29,27.4,38,3420,90,100,38,418,85,,107,21,177,1.03,49,62,-13,-0.34,48.6,63.8,-15.2,-0.4,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
21,26.6,38,3420,90,100,38,418,86,,97,19,187,1.55,51,40,11,0.29,54.1,38.0,16.1,0.42,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
32,27.6,38,3420,90,100,38,418,83,,133,22,187,1.03,34,59,-25,-0.66,39.3,57.8,-18.5,-0.49,/en/squads/8d6fd021/2019-2020/Alaves-Stats
26,26.7,38,3420,90,100,38,418,83,,130,21,189,1.34,41,38,3,0.08,41.5,48.8,-7.3,-0.19,/en/squads/2b390eca/2019-2020/Athletic-Club-Stats
30,26.1,38,3420,90,100,38,418,82,,130,23,187,1.84,51,27,24,0.63,56.8,32.5,24.4,0.64,/en/squads/db3b9613/2019-2020/Atletico-Madrid-Stats
28,27.8,38,3420,90,100,38,418,83,,123,22,183,2.16,86,38,48,1.26,66.3,38.3,28.0,0.74,/en/squads/206d90db/2019-2020/Barcelona-Stats
27,27.5,38,3420,90,100,38,418,83,,132,20,182,1.08,48,60,-12,-0.32,51.0,54.8,-3.7,-0.1,/en/squads/fc536746/2019-2020/Real-Betis-Stats
30,25.8,38,3420,90,100,38,418,83,,130,20,187,0.97,37,49,-12,-0.32,39.2,45.3,-6.1,-0.16,/en/squads/f25da7fb/2019-2020/Celta-Vigo-Stats
